Model,Resampling,SNS,SNS STD,PRE,PRE STD,F1,F1 STD,SPC,SPC STD,GMN,GMN STD
BNB,ReEdNN,0.848515356,0.007016855,0.854075772,0.011169382,0.836885068,0.008428944,0.983576315,0.000137935,0.913545241,0.003722472
BNB,IHT,0.523146276,0.036213992,0.671937601,0.036188385,0.537741411,0.037535445,0.962578549,0.007619165,0.709254594,0.026540727
BNB,NearMiss,0.427471265,0.018521541,0.632188115,0.022622953,0.451022129,0.010860429,0.969742837,0.006910141,0.643650634,0.012290445
BNB,OSS,0.416473319,0.054868315,0.625810362,0.006232602,0.348711047,0.051753705,0.94825516,0.009586392,0.626823152,0.040563695
BNB,TomL,0.880649576,0.00522445,0.886508882,0.005579224,0.878918981,0.006315437,0.990004414,0.000765852,0.933723529,0.002872754
LDA,CluCen,0.484907139,0.02872578,0.526881335,0.02846538,0.485694966,0.028268806,0.969657416,0.001736377,0.685428536,0.020657673
LDA,ConNN,0.093719558,0.02362524,0.211905378,0.048375496,0.065845206,0.021541957,0.952114156,0.002508486,0.295867282,0.041516468
LDA,RUS,0.627098166,0.022044905,0.668232654,0.015213096,0.632651603,0.021769518,0.977039901,0.001396131,0.782631816,0.014094703
LDA,NCR,0.932054484,0.00988973,0.935400839,0.009867776,0.930053222,0.010898621,0.996195074,0.000730729,0.963578941,0.00536356
LDA,EdNN,0.929480533,0.010011116,0.930267637,0.011641442,0.925503514,0.012435411,0.995742128,0.000949612,0.96202929,0.005616797
LDA,AllKNN,0.932611263,0.010260922,0.93697424,0.011321961,0.931974032,0.011292663,0.996253452,0.000940351,0.963894472,0.005653814
LDA,ReEdNN,0.929480533,0.010011116,0.930267637,0.011641442,0.925503514,0.012435411,0.995742128,0.000949612,0.96202929,0.005616797
LDA,IHT,0.718128531,0.028911515,0.768439397,0.025782895,0.729160852,0.026903003,0.983412082,0.002558041,0.840213491,0.018009059
